Wrangler,Jeans 5 Bolsillos Jogger,$35.990,56450206DKL,Jeans,5 bolsillos,jogger,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Americanino,Jeans 5 Bolsillos Skinny,$20.990,Jdsk Rara Sd,Jeans,5 bolsillos,skinny,"68% algodón, 29% poliéster, 2% acetato, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Lee,Jeans Hombre Denim,$36.990,Chicago-70,Jeans,5 bolsillos,regular,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M",
Lois,Jeans Slim ,$24.990,Jdsl Rainblack,Jeans,5 bolsillos,slim,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Wrangler,Jeans Jogger,$35.990,56450206VTG,Jeans,5 bolsillos,jogger,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Lois,Jeans Slim Básico,$24.990,Uruguay,Jeans,slim,"82% algodón, 18% poliéster",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M",
Second Image,Pantalón Super Skinny,$16.990,Jdss Basgrey,Jeans,5 bolsillos,super,"74% algodón, 24% poliéster, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 42"
Lois,Jeans 5 Bolsillos Regular,$26.990,Jdsk La Plata,Jeans,5 bolsillos,regular,,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Americanino,Jeans Jdsl Ultra 403,$20.990,Jdsl Ultra 403,Jeans,5 bolsillos,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44",,
Second Image,Pantalón Super Skinny,$16.990,Jdss Basmed,Jeans,5 bolsillos,super,"74% algodón, 24% poliéster, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Wrangler,Jeans Jogger,$35.990,56450206DTO,Jeans,5 bolsillos,jogger,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Second Image,Jeans 5 Bolsillos Skinny,$16.990,Jdsk Betterot,Jeans,5 bolsillos,skinny,"80% algodón, 19% poliéster, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Mossimo,Jeans Skinny,$19.990,Jdsk Ignacio,Jeans,5 bolsillos,skinny,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M",
Levis,Jeans 505 Regular Fit,$49.990,00505-1438I17,Jeans,5 bolsillos,regular,"99% algodón, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Americanino,Jeans 5 Bolsillos Casual,$34.990,Jdss Ultra525,Jeans,5 bolsillos,super skinny,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Lois,Jeans 5 Bolsillos Slim,$24.990,Jdsl Lagunanew,Jeans,5 bolsillos,slim,"96% algodón, 4% acetato",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 42"
Levis,Jeans 511 Slim Skinny Fit,$49.990,04511-2088I17,Jeans,5 bolsillos,skinny,"99% algodón, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Lee,Jeans 5 Bolsillos Slim,$30.990,56500209GR,Jeans,5 bolsillos,slim,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Levis,Jeans 510 Super Skinny Fit,$52.990,62209-0033I17,Jeans,5 bolsillos,super skinny,"99% algodón, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Wrangler,Jeans Tapered,$29.990,56450236Wc,Jeans,5 bolsillos,tapered,100% algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Levis,Jeans 513 Slim Straigth Fit,$49.990,08513-0642I17,Jeans,5 bolsillos,slim,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Mossimo,Jeans Super Skinny,$19.990,Jdss Av3,Jeans,5 bolsillos,super skinny,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M",
Lee,Jeans 5 Bolsillos Skinny,$29.990,56500219LVT,Jeans,5 bolsillos,skinny,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Levis,Jeans 511 Slim Skinny Fit,$49.990,04511-4172I17,Jeans,5 bolsillos,skinny,"99% algodón, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
